Rank,EntryName,Points,Lineup,SP1,SP2,C,1B,2B,3B,SS,OF1,OF2,OF3
1,beezy2408,171.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout 1B Joey Votto 3B Eugenio SuÌÁrez C J.T. Realmuto SS JosÌ© Peraza 2B Starlin Castro OF Jesse Winker OF Matt Joyce,Shohei Ohtani ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Starlin Castro ,Eugenio SuÌÁrez ,JosÌ© Peraza ,Mike Trout ,Jesse Winker ,Matt Joyce 
2,enorlin (1/5),168.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout 1B Joey Votto OF Khris Davis C J.T. Realmuto SS Marcus Semien 3B Matt Chapman 2B Starlin Castro OF Travis Jankowski,Shohei Ohtani ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Starlin Castro ,Matt Chapman ,Marcus Semien ,Mike Trout ,Khris Davis ,Travis Jankowski 
3,killboxtwinz2,168.45,P Justin Verlander P Andrew Triggs OF Mike Trout 1B Joey Votto SS JosÌ© Peraza 2B Ian Kinsler 3B MartÌ_n Prado OF Travis Jankowski C Alex Avila OF Chris Young,Justin Verlander ,Andrew Triggs ,Alex Avila ,Joey Votto ,Ian Kinsler ,MartÌ_n Prado ,JosÌ© Peraza ,Mike Trout ,Travis Jankowski ,Chris Young 
4,uwake (1/2),165.95,P Andrew Triggs OF Mike Trout SS Carlos Correa 2B Jose Altuve OF George Springer 1B Joey Votto C J.T. Realmuto OF Chris Taylor 3B Zack Cozart P Ross Stripling,Andrew Triggs ,Ross Stripling ,J.T . Realmuto ,Joey Votto ,Jose Altuve ,Zack Cozart ,Carlos Correa ,Mike Trout ,George Springer ,Chris Taylor 
5,robdwalk (1/2),164.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout 1B Joey Votto OF Justin Upton 3B Alex Bregman OF Josh Reddick SS Andrelton Simmons 2B Zack Cozart C Jonathan Lucroy,Shohei Ohtani ,Andrew Triggs ,Jonathan Lucroy ,Joey Votto ,Zack Cozart ,Alex Bregman ,Andrelton Simmons ,Mike Trout ,Justin Upton ,Josh Reddick 
6,brad29072,163.25,P Andrew Triggs P Eric Lauer OF Mike Trout 1B Joey Votto 3B Eugenio SuÌÁrez OF Khris Davis OF Dee Gordon SS Jean Segura C J.T. Realmuto 2B Zack Cozart,Andrew Triggs ,Eric Lauer ,J.T . Realmuto ,Joey Votto ,Zack Cozart ,Eugenio SuÌÁrez ,Jean Segura ,Mike Trout ,Khris Davis ,Dee Gordon 
7,mowilliams09,162.45,P Justin Verlander P Andrew Triggs OF Mike Trout 1B Joey Votto 2B Ian Kinsler SS KikÌ© HernÌÁndez 3B Luis Valbuena OF Matt Joyce C Austin Barnes OF Chris Young,Justin Verlander ,Andrew Triggs ,Austin Barnes ,Joey Votto ,Ian Kinsler ,Luis Valbuena ,KikÌ© HernÌÁndez ,Mike Trout ,Matt Joyce ,Chris Young 
7,Jordanpendleton,162.45,P Justin Verlander P Andrew Triggs 1B Joey Votto C J.T. Realmuto OF Franchy Cordero 2B Starlin Castro OF Matt Kemp SS KikÌ© HernÌÁndez 3B Luis Valbuena OF Travis Jankowski,Justin Verlander ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Starlin Castro ,Luis Valbuena ,KikÌ© HernÌÁndez ,Franchy Cordero ,Matt Kemp ,Travis Jankowski 
9,baselinebruiser (2/2),161.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout 1B Joey Votto OF Scott Schebler C J.T. Realmuto SS JosÌ© Peraza 2B Scooter Gennett OF Jesse Winker 3B Luis Valbuena,Shohei Ohtani ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Scooter Gennett ,Luis Valbuena ,JosÌ© Peraza ,Mike Trout ,Scott Schebler ,Jesse Winker 
10,l800Eddie (19/20),161.45,P Justin Verlander P Andrew Triggs 1B Joey Votto C J.T. Realmuto OF Brian Anderson 2B Starlin Castro 3B MartÌ_n Prado OF Cameron Maybin OF Matt Joyce SS Freddy Galvis,Justin Verlander ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Starlin Castro ,MartÌ_n Prado ,Freddy Galvis ,Brian Anderson ,Cameron Maybin ,Matt Joyce 
11,GoMaizeGoBlue (1/5),160.45,P Andrew Triggs P Alex Cobb OF Mike Trout SS Carlos Correa 2B Jose Altuve OF George Springer OF Justin Upton C J.T. Realmuto 1B Eric Hosmer 3B Zack Cozart,Andrew Triggs ,Alex Cobb ,J.T . Realmuto ,Eric Hosmer ,Jose Altuve ,Zack Cozart ,Carlos Correa ,Mike Trout ,George Springer ,Justin Upton 
12,Melo-Man (1/2),159.45,P Justin Verlander P Andrew Triggs OF Mike Trout 1B Joey Votto OF Matt Kemp 2B KikÌ© HernÌÁndez 3B Luis Valbuena C Austin Barnes SS Freddy Galvis OF Travis Jankowski,Justin Verlander ,Andrew Triggs ,Austin Barnes ,Joey Votto ,KikÌ© HernÌÁndez ,Luis Valbuena ,Freddy Galvis ,Mike Trout ,Matt Kemp ,Travis Jankowski 
13,VATRENI98 (3/5),158.65,P Shohei Ohtani P Andrew Triggs SS Carlos Correa 1B Joey Votto OF A.J. Pollock C J.T. Realmuto 3B Alex Bregman OF David Peralta OF Steven Souza Jr. 2B Daniel Descalso,Shohei Ohtani ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Daniel Descalso ,Alex Bregman ,Carlos Correa ,A.J . Pollock ,David Peralta ,Steven Souza Jr. 
14,LightningStrikes937 (2/4),158.45,P Justin Verlander P Andrew Triggs 1B Joey Votto C J.T. Realmuto OF Chris Taylor 3B Brian Anderson 2B Starlin Castro SS KikÌ© HernÌÁndez OF Cameron Maybin OF Travis Jankowski,Justin Verlander ,Andrew Triggs ,J.T . Realmuto ,Joey Votto ,Starlin Castro ,Brian Anderson ,KikÌ© HernÌÁndez ,Chris Taylor ,Cameron Maybin ,Travis Jankowski 
15,eternalone85 (1/4),157.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout 1B Joey Votto OF A.J. Pollock SS JosÌ© Peraza 2B Ian Kinsler OF Manuel Margot 3B Luis Valbuena C Alex Avila,Shohei Ohtani ,Andrew Triggs ,Alex Avila ,Joey Votto ,Ian Kinsler ,Luis Valbuena ,JosÌ© Peraza ,Mike Trout ,A.J . Pollock ,Manuel Margot 
15,Steelerman8 (1/2),157.65,P Shohei Ohtani P Andrew Triggs OF Mike Trout OF A.J. Pollock C J.T. Realmuto OF Nelson Cruz 3B Alex Bregman SS JosÌ© Peraza 2B Scooter Gennett 1B Justin Bour,Shohei Ohtani ,Andrew Triggs ,J.T . Realmuto ,Justin Bour ,Scooter Gennett ,Alex Bregman ,JosÌ© Peraza ,Mike Trout ,A.J . Pollock ,Nelson Cruz 
