"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","BOS @ TOR",".53","6.96","28.11","5.91","3.55","1.43",".09",".83","1.82","8.67","27.60","45.21","25.94","10603"
"Carlos Martinez","Cardinals","NYM @ STL",".36","6.64","27.60","5.26","3.61","1.11",".08",".46","3.01","7.42","23.45","40.17","22.02","11682"
"Noah Syndergaard","Mets","NYM @ STL",".38","6.50","26.63","5.50","3.83","1.11",".12",".44","2.19","7.38","23.77","39.88","22.18","11762"
"Kyle Hendricks","Cubs","MIL @ CHC",".48","6.95","28.07","6.12","3.97","1.27",".09",".79","1.73","6.39","22.66","37.98","21.01","12049"
"Chris Archer","Rays","TB @ BAL",".37","6.42","26.53","5.75","3.48","1.07",".08","1.12","1.99","7.43","22.32","37.69","20.82","6345"
"Jakob Junis","Royals","CWS @ KC",".44","6.26","25.46","5.60","3.67","1.01",".16",".76","1.63","6.71","22.03","36.71","20.31","13619"
"Ben Lively","Phillies","ARI @ PHI",".43","6.46","26.84","5.48","3.53","1.15",".13",".67","2.61","5.98","20.01","34.81","18.60","14932"
"Sean Newcomb","Braves","ATL @ CIN",".42","6.13","26.47","4.92","3.30",".88",".10",".64","3.87","6.61","19.25","34.87","18.31","16943"
"Dylan Bundy","Orioles","TB @ BAL",".37","6.49","26.92","5.95","3.85","1.11",".15",".84","2.10","6.18","19.89","34.47","18.45","12917"
"James Paxton","Mariners","SEA @ CLE",".41","6.35","26.78","5.87","3.66","1.42",".08",".71","2.44","6.27","19.48","34.33","18.24","11828"
"Mike Clevinger","Indians","SEA @ CLE",".32","6.03","25.85","5.72","3.58","1.25",".09",".80","2.61","6.36","18.10","32.52","17.03","12808"
"Michael Fulmer","Tigers","DET @ PIT",".38","6.55","27.18","6.03","4.11","1.21",".16",".56","2.16","5.20","18.28","32.30","16.94","13218"
"Jordan Montgomery","Yankees","MIN @ NYY",".41","5.47","23.12","4.78","3.05",".94",".06",".73","2.42","5.64","17.43","30.02","16.22","16511"
"Ivan Nova","Pirates","DET @ PIT",".37","6.49","26.31","6.17","4.23","1.28",".12",".55","1.27","4.44","17.63","30.26","15.91","1994"
"Chase Anderson","Brewers","MIL @ CHC",".26","5.80","24.86","5.72","3.25","1.28",".10","1.09","2.21","5.20","14.91","27.24","13.80","6895"
"Marco Estrada","Blue Jays","BOS @ TOR",".25","6.18","26.34","6.09","3.54","1.44",".09","1.03","2.27","4.56","14.11","26.37","12.97","1118"
"Homer Bailey","Reds","ATL @ CIN",".30","6.17","26.30","6.27","4.04","1.25",".10",".89","2.20","4.20","13.72","26.00","12.62","8362"
"Kyle Gibson","Twins","MIN @ NYY",".24","5.52","24.55","5.60","3.27","1.07",".07","1.19","2.97","5.30","12.94","25.36","12.29","10123"
"Lucas Giolito","White Sox","CWS @ KC",".28","6.07","26.65","6.10","3.88","1.25",".15",".82","2.99","4.41","12.66","25.35","11.94","15474"
"Matt Koch","Diamondbacks","ARI @ PHI",".30","6.13","26.03","6.16","3.86","1.15",".16",".99","2.10","3.90","13.06","24.73","11.94","13420"
