"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jacob deGrom","Mets","NYM @ SD",".53","7.13","28.25","5.40","3.56",".99",".11",".73","1.97","8.86","29.57","47.65","27.72","10954"
"Stephen Strasburg","Nationals","ARI @ WSH",".44","6.82","27.25","5.22","3.49",".99",".11",".64","2.10","8.53","27.77","45.15","25.87","10131"
"Corey Kluber","Indians","SEA @ CLE",".49","7.10","28.67","6.22","4.05","1.36",".10",".70","1.66","8.13","26.74","43.98","25.06","2429"
"Yu Darvish","Cubs","MIL @ CHC",".43","6.63","27.01","5.05","3.32","1.08",".09",".56","2.60","8.07","25.83","42.84","24.14","13074"
"Luis Severino","Yankees","NYY @ LAA",".51","6.66","27.51","5.70","3.72","1.03",".09",".87","2.40","6.71","22.15","37.83","20.73","15890"
"Marcus Stroman","Blue Jays","TEX @ TOR",".44","6.49","27.00","5.49","3.47","1.24",".09",".68","2.63","6.90","21.93","37.68","20.53","13431"
"Drew Pomeranz","Red Sox","TB @ BOS",".45","6.65","28.14","6.17","4.01","1.38",".12",".66","2.71","7.06","21.30","37.63","20.21","11426"
"Danny Duffy","Royals","CWS @ KC",".41","6.37","26.30","5.73","3.68","1.16",".16",".74","2.00","6.86","21.72","36.90","20.19","3542"
"Aaron Nola","Phillies","ATL @ PHI",".43","6.87","28.53","6.30","4.28","1.18",".12",".72","2.31","6.44","21.24","36.99","19.93","16149"
"Zack Godley","Diamondbacks","ARI @ WSH",".31","6.49","27.04","5.68","3.74","1.02",".10",".82","2.50","6.86","20.96","36.29","19.64","14862"
"Julio Teheran","Braves","ATL @ PHI",".33","6.23","26.60","5.63","3.47","1.07",".14",".96","2.86","6.63","18.92","33.82","17.86","6797"
"Dallas Keuchel","Astros","OAK @ HOU",".39","6.20","26.19","5.89","3.42","1.33",".11","1.03","2.16","6.48","19.24","33.65","17.95","9434"
"Tyler Anderson","Rockies","COL @ MIA",".40","5.94","24.96","5.63","3.92","1.03",".14",".54","2.02","5.45","17.99","31.39","16.64","12880"
"Brent Suter","Brewers","MIL @ CHC",".31","5.98","24.89","5.74","3.82","1.17",".16",".59","1.75","5.26","17.42","30.29","16.00","13942"
"Clayton Richard","Padres","NYM @ SD",".25","6.52","27.43","6.18","4.01","1.17",".10",".90","2.26","5.22","16.80","30.32","15.52","3551"
"Jose Urena","Marlins","COL @ MIA",".31","6.31","26.87","6.00","3.98","1.12",".17",".74","2.60","5.17","16.31","30.03","15.20","11589"
"Hyun-Jin Ryu","Dodgers","LAD @ SF",".39","5.84","25.01","5.75","3.83","1.23",".13",".56","2.28","5.29","16.39","29.62","15.28","14444"
"Derek Holland","Giants","LAD @ SF",".33","5.77","24.89","5.37","3.36","1.23",".13",".64","2.79","5.49","16.17","29.49","15.16","4141"
"Mike Minor","Rangers","TEX @ TOR",".29","5.98","25.37","5.77","3.15","1.48",".08","1.05","2.17","5.24","15.69","28.30","14.49","10021"
"Blake Snell","Rays","TB @ BOS",".31","5.79","25.63","5.97","3.85","1.38",".10",".64","2.96","5.58","14.77","28.55","14.08","13543"
"Mike Fiers","Tigers","DET @ BAL",".32","5.94","25.40","6.02","3.58","1.06",".06","1.32","2.06","5.43","15.50","28.21","14.40","7754"
"Luis Castillo","Reds","CIN @ MIN",".38","5.86","25.89","6.04","3.57","1.31",".12","1.04","2.85","5.29","14.25","27.55","13.51","15689"
"Reynaldo Lopez","White Sox","CWS @ KC",".31","6.12","26.42","6.00","3.86","1.23",".13",".78","2.67","4.73","14.49","27.49","13.53","16400"
"Sean Manaea","Athletics","OAK @ HOU",".32","5.85","25.64","6.24","3.80","1.34",".10","1.00","2.46","5.34","14.30","27.39","13.49","15873"
"Andrew Heaney","Angels","NYY @ LAA",".22","5.48","23.68","5.39","3.19",".91",".07","1.22","2.33","5.62","14.77","26.88","13.77","15423"
"Erasmo Ramirez","Mariners","SEA @ CLE",".28","6.01","25.40","6.12","3.70","1.43",".11",".88","1.80","4.27","13.91","25.59","12.68","10314"
"Miles Mikolas","Cardinals","STL @ PIT",".43","6.34","26.64","6.92","4.69","1.36",".16",".71","1.35","3.47","13.59","25.44","12.36","9803"
"Chris Tillman","Orioles","DET @ BAL",".37","5.72","24.33","5.63","3.59","1.12",".07",".84","2.09","4.02","13.48","24.83","12.32","5279"
"Steven Brault","Pirates","STL @ PIT",".26","5.36","23.43","5.42","3.51","1.16",".08",".68","2.54","4.11","11.87","22.91","11.04","15291"
"Phil Hughes","Twins","CIN @ MIN",".31","5.83","25.39","7.07","4.42","1.38",".13","1.14","1.46","3.78","10.80","21.85","9.94","7450"
