"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Bryce Harper","Nationals","PIT @ WSH","RF","4.52","1.24",".64",".22",".01",".36",".85",".69",".05",".04",".65",".78","9.70","15.07","11.36","11579"
"Kris Bryant","Cubs","COL @ CHC","3B","4.47","1.20",".63",".26",".02",".29",".83",".74",".05",".03",".77",".90","9.61","14.95","11.16","15429"
"Javier Baez","Cubs","COL @ CHC","2B","4.58","1.28",".70",".25",".03",".30",".83",".70",".08",".04",".30","1.16","8.98","13.98","10.67","12979"
"Mookie Betts","Red Sox","KC @ BOS","RF","4.67","1.28",".70",".35",".02",".20",".77",".62",".13",".06",".54",".53","8.98","13.93","10.61","13611"
"J.D. Martinez","Red Sox","KC @ BOS","DH","4.35","1.19",".60",".28",".02",".29",".71",".88",".01",".01",".43","1.10","8.89","13.91","10.41","6184"
"Charlie Blackmon","Rockies","COL @ CHC","CF","4.64","1.17",".62",".19",".04",".32",".72",".58",".12",".07",".49","1.21","8.79","13.62","10.43","7859"
"Tommy Pham","Cardinals","CWS @ STL","CF","4.71","1.14",".74",".20",".03",".18",".77",".52",".17",".09",".80",".93","8.71","13.48","10.23","2967"
"Nelson Cruz","Mariners","OAK @ SEA","DH","4.30","1.17",".64",".21",".00",".31",".70",".84",".01",".01",".44",".83","8.65","13.53","10.14","2434"
"Giancarlo Stanton","Yankees","NYY @ HOU","LF","4.49","1.02",".46",".20",".01",".34",".69",".82",".02",".01",".51","1.26","8.64","13.50","10.03","4949"
"Aaron Judge","Yankees","NYY @ HOU","RF","4.70","1.02",".52",".20",".02",".28",".72",".64",".05",".03",".76","1.46","8.65","13.44","10.02","15640"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.59","1.16",".63",".25",".01",".27",".70",".73",".08",".05",".40",".87","8.49","13.24","10.01","3410"
"Rhys Hoskins","Phillies","PHI @ MIA","LF","4.76","1.02",".56",".21",".02",".24",".76",".62",".05",".04",".82",".95","8.58","13.33","9.91","16472"
"Willson Contreras","Cubs","COL @ CHC","C","4.27","1.12",".61",".25",".01",".25",".69",".81",".03",".03",".50",".87","8.48","13.26","9.91","11609"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.48","1.04",".52",".23",".01",".29",".67",".76",".03",".02",".54",".99","8.33","13.01","9.70","11982"
"Joey Votto","Reds","MIL @ CIN","1B","4.48","1.05",".69",".17",".01",".19",".72",".62",".02",".01",".97",".69","8.32","12.93","9.59","4314"
"Curtis Granderson","Blue Jays","TOR @ MIN","LF","4.84","1.02",".52",".23",".03",".24",".73",".56",".05",".03",".74","1.00","8.30","12.88","9.63","4747"
"Eugenio Suarez","Reds","MIL @ CIN","3B","4.39","1.00",".57",".20",".01",".22",".66",".78",".03",".03",".71",".99","8.20","12.82","9.46","12552"
"Matt Adams","Nationals","PIT @ WSH","1B","4.32","1.18",".64",".25",".01",".28",".64",".79",".02",".01",".29",".99","8.08","12.65","9.57","9393"
"Mike Trout","Angels","BAL @ LAA","CF","4.43","1.04",".62",".19",".02",".20",".66",".52",".13",".06",".76",".87","8.17","12.65","9.56","10155"
"Adam Duvall","Reds","MIL @ CIN","LF","4.29",".96",".43",".23",".01",".29",".62",".86",".03",".02",".47","1.10","8.14","12.76","9.43","10950"
"Trea Turner","Nationals","PIT @ WSH","SS","4.43","1.24",".85",".21",".05",".13",".66",".52",".30",".12",".30",".82","8.02","12.42","9.73","16252"
"Anthony Rizzo","Cubs","COL @ CHC","1B","4.37","1.03",".59",".20",".02",".22",".71",".72",".04",".02",".64",".76","8.09","12.63","9.38","3473"
"Christian Yelich","Brewers","MIL @ CIN","LF","4.69","1.12",".66",".24",".02",".20",".72",".53",".07",".04",".65","1.03","8.06","12.50","9.46","11477"
"Matt Carpenter","Cardinals","CWS @ STL","3B","4.59",".92",".50",".24",".02",".16",".78",".55",".02",".02",".96",".80","8.08","12.56","9.21","8090"
"Nolan Arenado","Rockies","COL @ CHC","3B","4.43","1.07",".54",".22",".02",".29",".63",".65",".02",".02",".47","1.03","7.97","12.40","9.36","9777"
"Teoscar Hernandez","Blue Jays","TOR @ MIN","RF","4.73","1.11",".61",".27",".02",".20",".66",".59",".13",".08",".41","1.23","7.93","12.33","9.40","13066"
"Jesus Aguilar","Brewers","MIL @ CIN","1B","4.38","1.08",".58",".22",".01",".28",".64",".76",".01",".01",".34","1.04","7.83","12.25","9.21","11342"
"Jose Martinez","Cardinals","CWS @ STL","1B","4.49","1.17",".75",".25",".01",".16",".65",".70",".03",".02",".54",".58","7.74","12.09","9.11","7996"
"Hanley Ramirez","Red Sox","KC @ BOS","1B","4.45","1.12",".69",".23",".01",".19",".68",".69",".04",".02",".48",".86","7.74","12.09","9.09","8001"
"Albert Almora Jr.","Cubs","COL @ CHC","CF","4.71","1.33",".83",".29",".04",".17",".72",".52",".04",".03",".27",".81","7.60","11.81","9.18","14109"
"Edwin Encarnacion","Indians","TEX @ CLE","DH","4.17",".89",".46",".18",".00",".25",".64",".69",".01",".01",".70",".89","7.75","12.09","8.90","2151"
"Mitch Haniger","Mariners","OAK @ SEA","RF","4.09","1.05",".57",".22",".02",".23",".62",".66",".04",".03",".42",".89","7.57","11.82","8.91","14274"
"Whit Merrifield","Royals","KC @ BOS","2B","4.75","1.21",".76",".29",".03",".13",".61",".49",".18",".09",".37",".90","7.53","11.65","9.07","11281"
"Marcell Ozuna","Cardinals","CWS @ STL","LF","4.37","1.15",".74",".21",".02",".19",".59",".78",".01",".01",".40",".82","7.54","11.81","8.90","10324"
"Andrew McCutchen","Giants","SD @ SF","RF","4.52","1.13",".72",".25",".02",".15",".68",".51",".07",".04",".60",".71","7.58","11.76","8.95","9847"
"Gary Sanchez","Yankees","NYY @ HOU","C","4.39","1.04",".55",".23",".00",".27",".61",".69",".02",".02",".34",".94","7.53","11.77","8.87","11442"
"Freddie Freeman","Braves","ATL @ NYM","1B","4.42","1.05",".57",".26",".02",".21",".56",".56",".04",".02",".60","1.06","7.53","11.69","8.85","5361"
"Justin Smoak","Blue Jays","TOR @ MIN","1B","4.61","1.02",".59",".22",".01",".21",".61",".62",".01",".01",".63",".92","7.51","11.69","8.75","9054"
"Paul Goldschmidt","Diamondbacks","LAD @ ARI","1B","4.30",".97",".53",".24",".02",".18",".61",".51",".07",".03",".73","1.20","7.52","11.65","8.75","9218"
"Brian Dozier","Twins","TOR @ MIN","2B","4.61","1.09",".64",".22",".02",".20",".63",".53",".08",".04",".46",".90","7.44","11.56","8.83","9810"
"Francisco Lindor","Indians","TEX @ CLE","SS","4.37","1.09",".64",".26",".02",".16",".60",".59",".08",".05",".48",".63","7.44","11.57","8.79","12916"
"Yoenis Cespedes","Mets","ATL @ NYM","LF","4.38",".94",".52",".17",".02",".23",".60",".62",".02",".01",".62","1.25","7.46","11.62","8.67","13110"
"Jonathan Villar","Brewers","MIL @ CIN","2B","4.81","1.05",".68",".21",".02",".14",".60",".40",".24",".11",".47","1.41","7.36","11.36","8.81","10071"
"Wilmer Flores","Mets","ATL @ NYM","1B","4.48","1.06",".64",".21",".01",".20",".67",".57",".02",".02",".52",".75","7.38","11.49","8.68","5827"
"A.J. Pollock","Diamondbacks","LAD @ ARI","CF","4.21","1.02",".54",".28",".05",".15",".53",".64",".12",".06",".42",".85","7.33","11.42","8.67","9256"
"Cody Bellinger","Dodgers","LAD @ ARI","1B","4.40",".95",".50",".21",".03",".21",".56",".62",".05",".03",".56","1.24","7.36","11.46","8.59","15998"
"Jean Segura","Mariners","OAK @ SEA","SS","4.50","1.27",".89",".25",".03",".11",".63",".50",".14",".07",".28",".61","7.16","11.11","8.70","5933"
"Christian Villanueva","Padres","SD @ SF","3B","4.56","1.02",".58",".22",".01",".20",".57",".62",".02",".02",".51","1.06","7.22","11.25","8.47","11738"
"Addison Russell","Cubs","COL @ CHC","SS","4.06","1.02",".57",".22",".02",".20",".53",".69",".03",".02",".43",".87","7.19","11.24","8.47","14106"
"Mike Moustakas","Royals","KC @ BOS","3B","4.53","1.13",".67",".23",".01",".22",".57",".68",".01",".01",".25",".80","7.14","11.17","8.52","4892"
"Michael A. Taylor","Nationals","PIT @ WSH","CF","4.12","1.06",".63",".21",".02",".20",".51",".61",".14",".07",".24","1.15","7.09","11.04","8.51","11489"
"Andrew Benintendi","Red Sox","KC @ BOS","LF","4.56","1.09",".70",".25",".03",".10",".65",".52",".09",".06",".49",".85","7.12","11.07","8.43","17901"
"C.J. Cron","Rays","TB @ DET","1B","4.66","1.13",".69",".24",".01",".19",".60",".58",".04",".03",".31",".97","7.07","11.02","8.44","12546"
"Odubel Herrera","Phillies","PHI @ MIA","CF","4.65","1.23",".85",".25",".04",".09",".56",".56",".08",".05",".42",".75","7.04","10.95","8.48","11476"
"Denard Span","Rays","TB @ DET","LF","4.77","1.17",".80",".21",".04",".12",".58",".48",".11",".05",".43",".59","7.01","10.88","8.45","8347"
"Jorge Soler","Royals","KC @ BOS","DH","4.64",".87",".47",".20",".01",".20",".63",".52",".02",".02",".71","1.51","7.14","11.09","8.23","14221"
"Jose Altuve","Astros","NYY @ HOU","2B","4.50","1.16",".81",".22",".02",".11",".58",".44",".14",".06",".44",".86","7.01","10.85","8.45","5417"
"Aaron Altherr","Phillies","PHI @ MIA","RF","4.55",".97",".59",".21",".03",".14",".53",".64",".07",".04",".56",".98","7.04","10.99","8.25","11270"
"Mike Zunino","Mariners","OAK @ SEA","C","3.97",".88",".44",".18",".00",".26",".57",".66",".01",".01",".42","1.23","7.04","11.00","8.19","13265"
"Robinson Cano","Mariners","OAK @ SEA","2B","4.39","1.14",".76",".21",".01",".16",".62",".59",".01",".01",".42",".61","6.98","10.89","8.29","3269"
"Michael Brantley","Indians","TEX @ CLE","LF","4.28","1.21",".81",".28",".02",".11",".57",".61",".07",".03",".31",".45","6.92","10.80","8.32","4106"
"Asdrubal Cabrera","Mets","ATL @ NYM","2B","4.59","1.10",".70",".25",".01",".14",".61",".44",".03",".02",".61",".82","7.00","10.84","8.28","4962"
"Paul DeJong","Cardinals","CWS @ STL","SS","4.06","1.00",".56",".21",".01",".21",".52",".71",".02",".01",".32","1.12","6.95","10.89","8.20","18015"
"Nicholas Castellanos","Tigers","TB @ DET","RF","4.37","1.12",".68",".25",".04",".15",".53",".59",".03",".02",".37",".97","6.93","10.80","8.27","11737"
"Salvador Perez","Royals","KC @ BOS","C","4.43","1.08",".60",".26",".01",".22",".54",".67",".01",".01",".24","1.02","6.93","10.83","8.24","7304"
"Domingo Santana","Brewers","MIL @ CIN","RF","4.27",".94",".54",".18",".00",".22",".54",".57",".05",".03",".50","1.40","6.98","10.86","8.19","10348"
"Rajai Davis","Indians","TEX @ CLE","LF","4.59","1.02",".65",".26",".03",".08",".53",".41",".27",".10",".42",".95","6.93","10.71","8.33","3708"
"Ben Zobrist","Cubs","COL @ CHC","2B","4.16","1.00",".62",".21",".02",".15",".58",".61",".02",".02",".55",".61","6.96","10.86","8.15","7435"
"Jose Peraza","Reds","MIL @ CIN","SS","4.60","1.22",".93",".19",".02",".08",".62",".47",".18",".10",".26",".63","6.85","10.63","8.36","13593"
"Evan Longoria","Giants","SD @ SF","3B","4.42","1.15",".72",".28",".02",".13",".58",".60",".02",".02",".36",".61","6.89","10.75","8.21","9368"
"Khris Davis","Athletics","OAK @ SEA","DH","4.37",".84",".40",".17",".01",".26",".54",".63",".01",".01",".46","1.57","6.94","10.84","8.07","9112"
"Jeimer Candelario","Tigers","TB @ DET","3B","4.47","1.04",".60",".27",".04",".13",".60",".51",".01",".01",".53","1.06","6.92","10.76","8.15","13621"
"Ozzie Albies","Braves","ATL @ NYM","2B","4.64","1.07",".64",".22",".04",".17",".56",".45",".13",".08",".29","1.13","6.86","10.62","8.27","16556"
"Todd Frazier","Mets","ATL @ NYM","3B","4.28",".73",".40",".15",".01",".18",".53",".56",".04",".03",".90","1.05","7.01","10.90","7.96","785"
"Xander Bogaerts","Red Sox","KC @ BOS","SS","4.24","1.14",".75",".26",".02",".11",".56",".58",".06",".03",".41",".76","6.84","10.66","8.16","12161"
"Starling Marte","Pirates","PIT @ WSH","CF","4.43","1.14",".80",".18",".03",".13",".50",".44",".19",".09",".31","1.13","6.80","10.52","8.29","9241"
"George Springer","Astros","NYY @ HOU","CF","4.61",".99",".59",".21",".01",".17",".59",".46",".05",".03",".52","1.19","6.86","10.64","8.09","12856"
"Cesar Hernandez","Phillies","PHI @ MIA","2B","4.86","1.15",".89",".17",".04",".05",".61",".32",".13",".07",".65",".80","6.81","10.49","8.18","10556"
"Yadier Molina","Cardinals","CWS @ STL","C","4.27","1.10",".74",".22",".01",".14",".56",".67",".04",".03",".32",".49","6.75","10.58","8.04","7007"
"Jesse Winker","Reds","MIL @ CIN","RF","4.71","1.10",".77",".23",".01",".09",".61",".41",".04",".02",".67",".91","6.81","10.54","8.05","13590"
"Brandon Belt","Giants","SD @ SF","1B","4.21","1.02",".63",".25",".03",".12",".54",".58",".03",".02",".54",".85","6.78","10.57","7.98","10264"
"Dexter Fowler","Cardinals","CWS @ STL","RF","4.16",".89",".54",".18",".05",".12",".56",".51",".06",".04",".70",".73","6.82","10.60","7.94","4062"
"Carlos Santana","Phillies","PHI @ MIA","1B","4.44",".88",".53",".20",".02",".13",".51",".59",".03",".02",".75",".53","6.83","10.65","7.89","2396"
"David Dahl","Rockies","COL @ CHC","LF","4.54",".96",".54",".18",".04",".20",".56",".47",".09",".05",".32","1.65","6.70","10.40","7.99","13744"
"Howie Kendrick","Nationals","PIT @ WSH","LF","4.22","1.20",".82",".24",".02",".12",".50",".60",".06",".04",".24",".72","6.63","10.34","8.03","4229"
"Eddie Rosario","Twins","TOR @ MIN","LF","4.18","1.09",".68",".23",".03",".16",".50",".62",".07",".05",".21",".82","6.64","10.38","7.99","12155"
"Manuel Margot","Padres","SD @ SF","CF","4.77","1.12",".78",".22",".05",".08",".54",".38",".16",".09",".41",".81","6.64","10.26","8.05","14712"
"Ronald Acuna","Braves","ATL @ NYM","LF","4.53","1.02",".66",".19",".03",".15",".53",".44",".17",".13",".30","1.45","6.64","10.29","8.01","18401"
"Jose Abreu","White Sox","CWS @ STL","1B","4.43","1.10",".69",".23",".01",".16",".51",".53",".01",".01",".43",".80","6.66","10.36","7.94","15676"
"Corey Dickerson","Pirates","PIT @ WSH","LF","4.23","1.12",".66",".25",".03",".17",".51",".57",".03",".02",".23","1.03","6.62","10.32","7.97","10762"
"Trevor Story","Rockies","COL @ CHC","SS","4.33",".84",".41",".19",".02",".23",".51",".56",".05",".04",".41","1.79","6.69","10.42","7.83","12564"
"Manny Machado","Orioles","BAL @ LAA","SS","4.43","1.06",".68",".20",".01",".18",".50",".53",".05",".03",".37",".76","6.63","10.31","7.93","11493"
"Max Kepler","Twins","TOR @ MIN","RF","4.39","1.04",".64",".24",".03",".14",".54",".59",".04",".02",".37",".73","6.63","10.35","7.87","12144"
"Yangervis Solarte","Blue Jays","TOR @ MIN","2B","4.51","1.06",".68",".22",".01",".15",".52",".60",".02",".01",".43",".55","6.64","10.36","7.87","5352"
"Devin Mesoraco","Reds","MIL @ CIN","C","4.18",".87",".50",".17",".01",".19",".50",".61",".03",".02",".55",".96","6.68","10.42","7.76","5666"
