Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Clayton Kershaw (10648659),Clayton Kershaw,10648659,P,14400,LAD@SD 05/06/2018 04:10PM ET,LAD,17.62
SP,Justin Verlander (10648371),Justin Verlander,10648371,P,13200,HOU@ARI 05/06/2018 04:10PM ET,HOU,30.61
SP,Gerrit Cole (10648660),Gerrit Cole,10648660,P,12400,HOU@ARI 05/06/2018 04:10PM ET,HOU,35.26
SP,Patrick Corbin (10648661),Patrick Corbin,10648661,P,11500,HOU@ARI 05/06/2018 04:10PM ET,ARI,28.61
SP,Robbie Ray (10648662),Robbie Ray,10648662,P,11300,HOU@ARI 05/06/2018 04:10PM ET,ARI,17.41
SP,Lance McCullers Jr. (10648663),Lance McCullers Jr.,10648663,P,11200,HOU@ARI 05/06/2018 04:10PM ET,HOU,20.15
SP,Charlie Morton (10648664),Charlie Morton,10648664,P,10500,HOU@ARI 05/06/2018 04:10PM ET,HOU,22.59
SP,Rich Hill (10648372),Rich Hill,10648372,P,10500,LAD@SD 05/06/2018 04:10PM ET,LAD,11.78
SP,Zack Greinke (10648665),Zack Greinke,10648665,P,10200,HOU@ARI 05/06/2018 04:10PM ET,ARI,18.99
SP,Alex Wood (10648666),Alex Wood,10648666,P,9800,LAD@SD 05/06/2018 04:10PM ET,LAD,15.69
SP,Kenta Maeda (10648667),Kenta Maeda,10648667,P,9500,LAD@SD 05/06/2018 04:10PM ET,LAD,15.07
SP,Hyun-Jin Ryu (10648668),Hyun-Jin Ryu,10648668,P,8900,LAD@SD 05/06/2018 04:10PM ET,LAD,17.22
SP,Walker Buehler (10648669),Walker Buehler,10648669,P,8600,LAD@SD 05/06/2018 04:10PM ET,LAD,22.6
SP,Shohei Ohtani (10648373),Shohei Ohtani,10648373,P,8500,LAA@SEA 05/06/2018 04:10PM ET,LAA,3.60
SP,Sean Manaea (10648670),Sean Manaea,10648670,P,8400,BAL@OAK 05/06/2018 04:05PM ET,OAK,26.02
SP,Joey Lucchesi (10648671),Joey Lucchesi,10648671,P,8300,LAD@SD 05/06/2018 04:10PM ET,SD,17.66
SP,James Paxton (10648672),James Paxton,10648672,P,8000,LAA@SEA 05/06/2018 04:10PM ET,SEA,20.54
