Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Gerrit Cole (10617454),Gerrit Cole,10617454,P,12600,OAK@HOU 04/29/2018 02:10PM ET,HOU,31.59
SP,Justin Verlander (10617385),Justin Verlander,10617385,P,12300,OAK@HOU 04/29/2018 02:10PM ET,HOU,28.44
SP,Jose Berrios (10617634),Jose Berrios,10617634,P,11900,CIN@MIN 04/29/2018 02:10PM ET,MIN,24.25
SP,Charlie Morton (10617369),Charlie Morton,10617369,P,11500,OAK@HOU 04/29/2018 02:10PM ET,HOU,22.97
SP,Ervin Santana (10617361),Ervin Santana,10617361,P,9200,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
SP,Yu Darvish (10617424),Yu Darvish,10617424,P,9000,MIL@CHC 04/29/2018 02:20PM ET,CHC,12.47
SP,Dallas Keuchel (10617498),Dallas Keuchel,10617498,P,8800,OAK@HOU 04/29/2018 02:10PM ET,HOU,13.88
SP,Sean Manaea (10617666),Sean Manaea,10617666,P,8400,OAK@HOU 04/29/2018 02:10PM ET,OAK,28.58
SP,Jimmy Nelson (10617555),Jimmy Nelson,10617555,P,8200,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Lance McCullers Jr. (10617635),Lance McCullers Jr.,10617635,P,8100,OAK@HOU 04/29/2018 02:10PM ET,HOU,21.12
SP,Jon Lester (10617371),Jon Lester,10617371,P,8000,MIL@CHC 04/29/2018 02:20PM ET,CHC,12.08
SP,Andrew Triggs (10617576),Andrew Triggs,10617576,P,7800,OAK@HOU 04/29/2018 02:10PM ET,OAK,12.39
SP,Reynaldo Lopez (10617660),Reynaldo Lopez,10617660,P,7800,CWS@KC 04/29/2018 02:15PM ET,CWS,16.57
SP,Carlos Rodon (10617609),Carlos Rodon,10617609,P,7700,CWS@KC 04/29/2018 02:15PM ET,CWS,0
SP,Jose Quintana (10617526),Jose Quintana,10617526,P,7600,MIL@CHC 04/29/2018 02:20PM ET,CHC,12.24
SP,Jakob Junis (10617621),Jakob Junis,10617621,P,7600,CWS@KC 04/29/2018 02:15PM ET,KC,18.43
SP,Tyler Chatwood (10617482),Tyler Chatwood,10617482,P,7300,MIL@CHC 04/29/2018 02:20PM ET,CHC,14.64
SP,Kyle Gibson (10617488),Kyle Gibson,10617488,P,7300,CIN@MIN 04/29/2018 02:10PM ET,MIN,16.75
SP,Kyle Hendricks (10617582),Kyle Hendricks,10617582,P,7200,MIL@CHC 04/29/2018 02:20PM ET,CHC,15.93
SP,Tyler Mahle (10617688),Tyler Mahle,10617688,P,7200,CIN@MIN 04/29/2018 02:10PM ET,CIN,12.22
SP,Collin McHugh (10617468),Collin McHugh,10617468,P,7000,OAK@HOU 04/29/2018 02:10PM ET,HOU,6.4
SP,Danny Duffy (10617439),Danny Duffy,10617439,P,6800,CWS@KC 04/29/2018 02:15PM ET,KC,10.28
SP,Ian Kennedy (10617406),Ian Kennedy,10617406,P,6600,CWS@KC 04/29/2018 02:15PM ET,KC,12.86
SP,Lance Lynn (10617457),Lance Lynn,10617457,P,6500,CIN@MIN 04/29/2018 02:10PM ET,MIN,7.8
SP,Chase Anderson (10617499),Chase Anderson,10617499,P,6400,MIL@CHC 04/29/2018 02:20PM ET,MIL,14.43
SP,Trevor Cahill (10617409),Trevor Cahill,10617409,P,6400,OAK@HOU 04/29/2018 02:10PM ET,OAK,22.6
SP,Nate Karns (10617415),Nate Karns,10617415,P,6400,CWS@KC 04/29/2018 02:15PM ET,KC,0
