"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Aaron Judge","Yankees","NYY @ LAA","RF","4.72","1.02",".52",".15",".01",".33",".76",".70",".06",".03",".77","1.53","9.02","14.03","10.43","15640"
"Giancarlo Stanton","Yankees","NYY @ LAA","LF","4.51","1.01",".45",".16",".01",".39",".72",".84",".02",".01",".53","1.39","8.94","13.97","10.36","4949"
"Joey Votto","Reds","CIN @ MIN","1B","4.63","1.26",".78",".23",".01",".25",".74",".72",".02",".01",".63",".60","8.74","13.61","10.27","4314"
"Rhys Hoskins","Phillies","ATL @ PHI","LF","4.29",".91",".44",".17",".01",".29",".67",".81",".04",".03",".82","1.00","8.72","13.61","9.97","16472"
"Brian Dozier","Twins","CIN @ MIN","2B","4.75","1.16",".65",".24",".02",".25",".72",".66",".07",".04",".55",".87","8.51","13.25","10.01","9810"
"Tommy Pham","Cardinals","STL @ PIT","CF","4.83","1.17",".79",".21",".03",".15",".74",".52",".17",".10",".77",".94","8.49","13.14","10.00","2967"
"Mookie Betts","Red Sox","TB @ BOS","RF","4.68","1.17",".67",".32",".02",".16",".70",".57",".14",".06",".67",".63","8.46","13.12","9.96","13611"
"Charlie Blackmon","Rockies","COL @ MIA","CF","4.58","1.16",".72",".19",".04",".20",".64",".65",".10",".06",".57",".76","8.20","12.75","9.70","7859"
"Jose Altuve","Astros","OAK @ HOU","2B","4.54","1.31",".89",".25",".02",".14",".73",".51",".15",".07",".45",".69","8.01","12.41","9.63","5417"
"Miguel Sano","Twins","CIN @ MIN","3B","4.54",".99",".51",".19",".01",".27",".66",".76",".01",".01",".60","1.52","8.09","12.65","9.37","12164"
"Freddie Freeman","Braves","ATL @ PHI","1B","4.51","1.11",".62",".26",".01",".23",".63",".61",".04",".02",".63","1.02","8.04","12.49","9.42","5361"
"J.D. Martinez","Red Sox","TB @ BOS","DH","4.35","1.06",".56",".26",".02",".23",".64",".77",".01",".01",".53","1.25","8.02","12.54","9.34","6184"
"Mike Trout","Angels","NYY @ LAA","CF","4.43",".99",".56",".18",".02",".23",".64",".53",".12",".06",".71","1.09","8.05","12.46","9.41","10155"
"Bryce Harper","Nationals","ARI @ WSH","RF","4.28",".93",".51",".17",".01",".24",".63",".59",".05",".03",".86",".89","8.03","12.46","9.25","11579"
"Carlos Correa","Astros","OAK @ HOU","SS","4.43","1.14",".68",".24",".01",".20",".65",".68",".04",".02",".51","1.02","7.88","12.28","9.28","14162"
"Gary Sanchez","Yankees","NYY @ LAA","C","4.41","1.07",".57",".19",".00",".31",".63",".74",".02",".02",".32","1.00","7.86","12.28","9.26","11442"
"Scooter Gennett","Reds","CIN @ MIN","2B","4.44","1.30",".81",".26",".02",".21",".64",".76",".03",".02",".19",".75","7.79","12.19","9.35","10339"
"George Springer","Astros","OAK @ HOU","CF","4.65","1.12",".66",".22",".02",".22",".71",".53",".05",".04",".53",".93","7.85","12.19","9.26","12856"
"Yoenis Cespedes","Mets","NYM @ SD","LF","4.64","1.12",".64",".20",".02",".27",".70",".62",".02",".01",".41","1.10","7.83","12.19","9.25","13110"
"Scott Schebler","Reds","CIN @ MIN","RF","4.21","1.11",".58",".22",".03",".27",".61",".69",".04",".03",".28",".80","7.75","12.10","9.20","12225"
"Eugenio Suarez","Reds","CIN @ MIN","3B","4.54","1.15",".70",".23",".02",".21",".64",".75",".03",".02",".38",".97","7.75","12.12","9.16","12552"
"Mike Moustakas","Royals","CWS @ KC","3B","4.41","1.12",".63",".22",".01",".25",".60",".78",".01",".01",".35",".56","7.73","12.10","9.12","4892"
"Teoscar Hernandez","Blue Jays","TEX @ TOR","RF","4.44",".99",".47",".26",".03",".23",".61",".59",".12",".07",".38","1.32","7.61","11.83","8.97","13066"
"Pedro Alvarez","Orioles","DET @ BAL","DH","4.46",".98",".51",".18",".00",".29",".67",".64",".02",".01",".44","1.05","7.60","11.85","8.89","2495"
"Adam Duvall","Reds","CIN @ MIN","LF","4.32","1.06",".54",".24",".02",".26",".62",".70",".03",".02",".25",".96","7.53","11.78","8.91","10950"
