"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.A. Happ","Blue Jays","TEX @ TOR",".48","6.71","27.71","5.55","3.38","1.24",".08",".84","2.60","7.83","24.34","41.12","22.89","7410"
"Gerrit Cole","Astros","OAK @ HOU",".45","6.69","27.80","6.01","3.56","1.33",".11","1.01","2.21","7.99","23.96","40.58","22.55","13125"
"Robbie Ray","Diamondbacks","ARI @ WSH",".33","6.13","26.52","5.44","3.46","1.14",".09",".75","3.34","8.10","21.65","38.47","20.70","11486"
"Caleb Smith","Marlins","COL @ MIA",".35","5.96","24.73","4.83","3.09",".94",".14",".66","2.58","6.89","21.16","35.80","19.70","14875"
"Kevin Gausman","Orioles","DET @ BAL",".47","6.74","27.82","6.45","4.23","1.39",".08",".75","1.74","6.19","20.88","35.95","19.45","14107"
"Gio Gonzalez","Nationals","ARI @ WSH",".41","6.78","28.59","6.15","4.12","1.38",".11",".55","2.79","6.32","20.30","36.16","19.18","7448"
"Luke Weaver","Cardinals","STL @ PIT",".43","6.59","27.64","6.24","4.32","1.25",".18",".50","2.31","5.89","19.52","34.63","18.32","16918"
"Rick Porcello","Red Sox","TB @ BOS",".44","6.80","28.23","7.07","4.75","1.54",".19",".60","1.45","5.68","19.35","34.04","18.03","2717"
"Vince Velasquez","Phillies","ATL @ PHI",".38","5.94","24.93","5.45","3.47","1.02",".12",".84","2.23","6.39","19.34","33.49","18.00","11189"
"Zack Wheeler","Mets","NYM @ SD",".39","6.24","26.27","5.73","3.54","1.12",".19",".87","2.39","6.09","18.76","33.07","17.50","10310"
"Kenta Maeda","Dodgers","LAD @ SF",".38","5.66","23.88","5.28","3.67","1.06",".13",".42","2.16","5.70","18.01","31.16","16.75","18498"
"Tyler Chatwood","Cubs","MIL @ CHC",".38","5.85","25.07","5.03","3.25","1.16",".09",".53","3.11","5.67","17.28","31.11","16.20","4338"
"Nick Kingham","Pirates","STL @ PIT",".31","6.16","26.18","5.68","3.74","1.13",".12",".69","2.66","5.39","16.78","30.49","15.62","sa548285"
"Ian Kennedy","Royals","CWS @ KC",".36","5.88","25.25","5.93","3.52","1.21",".17","1.03","2.23","5.98","16.80","30.36","15.74","6986"
"Jose Berrios","Twins","CIN @ MIN",".41","5.87","25.31","5.92","3.87","1.15",".10",".81","2.41","5.54","16.19","29.74","15.19","14168"
"Chad Bettis","Rockies","COL @ MIA",".36","6.20","25.84","5.93","4.03","1.23",".16",".51","1.89","4.60","16.57","29.42","15.17","10587"
"Tyler Skaggs","Angels","NYY @ LAA",".36","5.84","25.05","5.62","3.59","1.05",".07",".92","2.52","5.30","15.69","28.68","14.61","10190"
"Bryan Mitchell","Padres","NYM @ SD",".33","5.88","24.89","5.46","3.40","1.20",".10",".77","2.30","4.75","15.41","27.74","14.16","11479"
"Zach Davies","Brewers","MIL @ CHC",".33","6.16","26.49","6.39","4.01","1.46",".18",".74","2.21","4.32","13.82","26.37","12.83","13183"
"Daniel Norris","Tigers","DET @ BAL",".27","5.59","24.61","6.05","3.90","1.25",".09",".81","2.40","4.96","13.26","25.66","12.50","13475"
"Ty Blach","Giants","LAD @ SF",".34","6.38","27.02","6.69","4.64","1.50",".17",".39","1.87","3.42","13.36","25.56","12.20","14361"
"Trevor Cahill","Athletics","OAK @ HOU",".25","5.07","22.86","5.39","3.41","1.11",".09",".78","2.83","5.17","12.37","24.25","11.87","6249"
"Brandon McCarthy","Braves","ATL @ PHI",".27","5.19","22.42","5.19","3.26",".97",".11",".85","2.21","4.52","12.94","23.69","12.01","4662"
"Marco Gonzales","Mariners","SEA @ CLE",".34","5.07","22.07","5.30","3.33","1.31",".08",".58","2.09","4.29","12.63","23.29","11.79","15467"
"Matt Andriese","Rays","TB @ BOS",".27","5.19","22.25","5.71","3.51","1.35",".09",".76","1.45","4.20","12.53","22.74","11.51","12022"
"Josh Tomlin","Indians","SEA @ CLE",".29","5.48","23.38","6.43","3.80","1.50",".09","1.05",".95","4.05","12.26","22.60","11.12","9388"
"Martin Perez","Rangers","TEX @ TOR",".27","5.94","25.99","6.42","3.70","1.71",".09",".92","2.34","3.70","10.93","22.32","10.14","6902"
"Hector Santiago","White Sox","CWS @ KC",".31","5.35","23.74","5.57","3.48","1.07",".08",".94","2.72","4.00","10.92","22.02","10.24","4026"
"Tyler Mahle","Reds","CIN @ MIN",".27","5.39","24.20","6.36","3.75","1.35",".14","1.11","2.25","4.20","10.11","21.26","9.55","16358"
"CC Sabathia","Yankees","NYY @ LAA",".32","5.44","23.73","5.69","3.39","1.08",".09","1.15","2.27","3.50","10.44","20.80","9.57","404"
