"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Johnny Cueto","Giants","",".38","6.76","27.73","5.68","3.60","1.27",".13",".68","2.31","7.30","23.55","39.74","21.97","6893"
"Jose Quintana","Cubs","MIL @ CHC",".44","6.92","28.43","6.11","4.09","1.36",".14",".53","2.25","6.80","22.85","39.09","21.41","11423"
"David Price","Red Sox","TB @ BOS",".49","6.65","27.51","6.47","4.18","1.53",".11",".65","1.66","6.91","22.32","38.12","20.89","3184"
"Walker Buehler","Dodgers","LAD @ SF",".39","6.03","25.83","5.11","3.43","1.05",".14",".49","3.23","7.10","20.70","36.48","19.60","19374"
"Lance McCullers Jr.","Astros","OAK @ HOU",".41","5.63","23.91","4.68","2.70","1.16",".08",".73","2.74","7.43","21.17","35.91","19.93","14120"
"Carlos Carrasco","Indians","SEA @ CLE",".45","6.48","27.01","6.24","4.09","1.36",".11",".68","1.88","6.39","20.53","35.57","19.15","6632"
"Nick Pivetta","Phillies","ATL @ PHI",".38","6.19","25.93","5.60","3.66","1.04",".11",".79","2.38","6.58","20.10","34.94","18.77","15454"
"Mike Foltynewicz","Braves","ATL @ PHI",".35","6.36","27.07","5.81","3.60","1.07",".14","1.00","2.73","6.81","19.64","34.83","18.55","10811"
"Joey Lucchesi","Padres","NYM @ SD",".37","5.97","24.51","4.86","3.05","1.00",".09",".72","2.20","6.08","20.12","33.67","18.50","19320"
"Masahiro Tanaka","Yankees","NYY @ LAA",".37","6.54","26.82","6.03","3.65","1.16",".10","1.11","1.65","6.02","19.85","33.75","18.32","15764"
"Patrick Corbin","Diamondbacks","ARI @ WSH",".39","6.33","26.92","6.42","4.27","1.33",".15",".68","2.18","6.39","19.01","34.08","17.93","9323"
"Garrett Richards","Angels","NYY @ LAA",".32","5.55","23.06","4.36","2.70",".88",".05",".73","2.52","6.59","19.93","33.20","18.52","9784"
"Chris Stratton","Giants","LAD @ SF",".35","6.57","27.80","5.91","3.95","1.28",".17",".52","2.84","5.85","18.82","33.88","17.66","13761"
"Jaime Garcia","Blue Jays","TEX @ TOR",".40","5.91","24.91","4.98","2.98","1.12",".07",".81","2.77","6.28","19.08","33.19","17.81","8137"
"German Marquez","Rockies","COL @ MIA",".41","6.35","26.63","6.07","4.15","1.16",".14",".62","2.06","5.58","18.65","32.90","17.30","15038"
"Francisco Liriano","Tigers","DET @ BAL",".35","6.07","25.88","5.59","3.54","1.10",".09",".86","2.65","6.24","18.30","32.67","17.18","3201"
"Jason Vargas","Mets","NYM @ SD",".33","6.15","25.54","5.50","3.41","1.02",".12",".95","2.16","5.84","18.49","32.04","17.07","8044"
"Alex Wood","Dodgers","",".36","6.16","25.90","5.98","4.19","1.25",".14",".40","2.06","5.50","18.06","32.00","16.77","13781"
"Wei-Yin Chen","Marlins","COL @ MIA",".33","6.40","26.55","6.31","4.06","1.24",".14",".87","1.62","5.46","18.02","31.55","16.57","13071"
"Eric Skoglund","Royals","",".43","5.78","24.53","5.80","3.79","1.18",".15",".68","1.99","5.65","17.41","30.80","16.22","16155"
"Andrew Cashner","Orioles","DET @ BAL",".40","6.53","27.30","6.12","3.97","1.36",".11",".68","2.19","4.85","17.19","30.76","15.86","8782"
"Jack Flaherty","Cardinals","STL @ PIT",".38","5.63","23.47","5.05","3.31",".99",".13",".62","2.05","5.42","17.64","30.11","16.27","17479"
"Trevor Oaks","Royals","",".43","6.36","26.72","6.62","4.41","1.43",".19",".59","1.63","5.00","17.02","30.58","15.74","sa829144"
"Trevor Oaks","Royals","CWS @ KC",".42","6.31","26.56","6.68","4.43","1.40",".17",".67","1.57","4.88","16.44","29.71","15.19","sa829144"
"Trevor Williams","Pirates","STL @ PIT",".31","6.14","26.31","5.83","3.84","1.24",".11",".64","2.72","5.22","16.02","29.67","14.96","16977"
"Jeremy Hellickson","Nationals","ARI @ WSH",".33","5.84","24.64","5.86","3.66","1.35",".17",".67","1.83","4.36","14.54","26.35","13.28","4371"
"Junior Guerra","Brewers","MIL @ CHC",".26","5.27","22.64","4.41","2.66",".96",".14",".64","2.92","4.82","14.49","25.84","13.48","5702"
"Jake Odorizzi","Twins","CIN @ MIN",".37","5.68","25.09","5.92","3.64","1.20",".14",".94","2.75","4.84","13.09","25.65","12.35","6397"
"Bartolo Colon","Rangers","TEX @ TOR",".31","6.00","25.46","6.53","3.78","1.54",".12","1.09","1.47","3.93","12.79","24.01","11.62","375"
"Daniel Mengden","Athletics","OAK @ HOU",".27","5.77","25.59","6.72","4.10","1.48",".13","1.01","2.20","4.31","11.11","22.91","10.46","16980"
"Mike Leake","Mariners","SEA @ CLE",".29","5.86","25.50","6.47","3.93","1.60",".15",".79","2.07","3.72","11.24","22.57","10.37","10130"
"Yonny Chirinos","Rays","TB @ BOS",".25","5.69","24.82","6.69","4.07","1.63",".13",".86","1.65","3.94","11.09","22.17","10.23","16401"
"Carson Fulmer","White Sox","",".27","5.41","24.37","5.69","3.68","1.20",".12",".70","3.10","3.83","10.02","21.43","9.52","18311"
"Carson Fulmer","White Sox","CWS @ KC",".29","5.41","24.37","5.59","3.62","1.12",".09",".75","3.20","3.69","9.87","21.16","9.36","18311"
"Sal Romano","Reds","CIN @ MIN",".30","5.40","24.83","6.37","3.84","1.55",".17",".82","2.89","3.61","8.18","19.35","7.90","13690"
"Dylan Covey","White Sox","",".23","5.07","22.86","5.82","3.58","1.22",".10",".93","2.40","3.07","7.68","17.20","7.18","14825"
