"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Brian Dozier","Twins","CIN @ MIN","2B","4.86","1.22",".68",".28",".03",".23",".84",".73",".08",".04",".67",".73","9.32","14.51","10.88","9810"
"Joey Votto","Reds","CIN @ MIN","1B","4.69","1.18",".71",".23",".01",".22",".78",".71",".02",".01",".91",".61","9.11","14.17","10.54","4314"
"Mike Moustakas","Royals","","3B","4.59","1.27",".70",".25",".01",".30",".79",".80",".01",".01",".36",".51","8.86","13.85","10.46","4892"
"Freddie Freeman","Braves","ATL @ PHI","1B","4.54","1.16",".61",".26",".02",".27",".68",".68",".04",".02",".65",".93","8.73","13.57","10.22","5361"
"Eddie Rosario","Twins","CIN @ MIN","LF","4.65","1.29",".76",".29",".05",".19",".71",".86",".07",".05",".35",".77","8.63","13.52","10.23","12155"
"Rhys Hoskins","Phillies","ATL @ PHI","LF","4.28",".92",".44",".17",".01",".29",".67",".78",".04",".03",".79","1.06","8.62","13.46","9.89","16472"
"Mike Moustakas","Royals","CWS @ KC","3B","4.63","1.21",".70",".24",".01",".26",".72",".76",".01",".01",".40",".52","8.30","12.97","9.79","4892"
"Curtis Granderson","Blue Jays","TEX @ TOR","LF","4.53","1.04",".48",".25",".04",".27",".72",".60",".04",".02",".57",".92","8.31","12.90","9.69","4747"
"Mookie Betts","Red Sox","TB @ BOS","RF","4.59","1.24",".71",".34",".02",".17",".69",".57",".12",".05",".42",".55","8.15","12.64","9.71","13611"
"Mike Trout","Angels","NYY @ LAA","CF","4.36","1.02",".54",".19",".03",".27",".65",".57",".11",".05",".57","1.06","8.15","12.63","9.57","10155"
"Jose Altuve","Astros","OAK @ HOU","2B","4.55","1.34",".90",".28",".02",".14",".73",".56",".13",".06",".38",".63","8.02","12.46","9.66","5417"
"J.D. Martinez","Red Sox","TB @ BOS","DH","4.28","1.16",".61",".28",".02",".25",".64",".79",".01",".01",".32","1.08","8.01","12.54","9.46","6184"
"Scooter Gennett","Reds","CIN @ MIN","2B","4.59","1.26",".79",".26",".03",".19",".64",".83",".03",".02",".33",".88","7.98","12.51","9.49","10339"
"Trea Turner","Nationals","ARI @ WSH","SS","4.60","1.24",".84",".23",".06",".10",".63",".41",".31",".13",".41",".92","7.97","12.28","9.68","16252"
"George Springer","Astros","OAK @ HOU","CF","4.67","1.18",".70",".25",".02",".22",".72",".61",".05",".04",".46",".86","8.01","12.47","9.48","12856"
"Tommy Pham","Cardinals","STL @ PIT","CF","4.78","1.12",".76",".19",".03",".14",".68",".51",".16",".09",".69","1.07","7.98","12.37","9.43","2967"
"Lucas Duda","Royals","","1B","4.37",".98",".49",".24",".00",".24",".68",".67",".01",".01",".69",".76","7.99","12.45","9.21","2502"
"Whit Merrifield","Royals","","2B","4.71","1.25",".82",".27",".04",".12",".67",".55",".16",".08",".40",".60","7.82","12.14","9.40","11281"
"Carlos Correa","Astros","OAK @ HOU","SS","4.45","1.18",".72",".25",".01",".20",".66",".68",".04",".02",".44",".96","7.80","12.18","9.23","14162"
"Joe Mauer","Twins","CIN @ MIN","1B","4.75","1.23",".83",".32",".01",".06",".77",".55",".02",".01",".81",".49","7.85","12.21","9.18","1857"
"Scott Schebler","Reds","CIN @ MIN","RF","4.37","1.05",".56",".22",".04",".23",".60",".74",".04",".03",".42",".95","7.80","12.19","9.16","12225"
"Nolan Arenado","Rockies","COL @ MIA","3B","4.53","1.14",".64",".25",".03",".23",".60",".67",".03",".02",".42",".73","7.75","12.08","9.17","9777"
"Eduardo Escobar","Twins","CIN @ MIN","SS","4.52","1.13",".67",".26",".04",".16",".64",".77",".03",".02",".45",".73","7.74","12.12","9.10","6153"
"Max Kepler","Twins","CIN @ MIN","RF","4.41","1.09",".62",".29",".04",".15",".65",".71",".04",".03",".53",".61","7.71","12.04","9.02","12144"
"Teoscar Hernandez","Blue Jays","TEX @ TOR","RF","4.43","1.07",".55",".27",".03",".22",".64",".58",".12",".07",".32","1.12","7.68","11.93","9.12","13066"
"Logan Morrison","Twins","CIN @ MIN","DH","4.20",".94",".53",".19",".02",".20",".67",".69",".02",".01",".72",".74","7.75","12.10","8.92","9205"
"Manny Machado","Orioles","DET @ BAL","SS","4.33","1.08",".63",".21",".01",".23",".60",".65",".04",".03",".49",".64","7.66","11.93","9.02","11493"
"Whit Merrifield","Royals","CWS @ KC","2B","4.75","1.22",".83",".25",".03",".10",".64",".54",".16",".09",".46",".63","7.60","11.80","9.12","11281"
"A.J. Pollock","Diamondbacks","ARI @ WSH","CF","4.54","1.17",".68",".30",".04",".15",".56",".63",".15",".07",".32",".74","7.57","11.78","9.07","9256"
"Wil Myers","Padres","NYM @ SD","RF","4.38","1.01",".57",".19",".02",".23",".64",".51",".12",".07",".48","1.05","7.62","11.81","9.00","10047"
"Ryan Zimmerman","Nationals","ARI @ WSH","1B","4.49","1.14",".66",".25",".02",".22",".68",".63",".01",".01",".37",".98","7.57","11.80","8.95","4220"
"Jesse Winker","Reds","CIN @ MIN","RF","4.91","1.24",".82",".29",".02",".11",".67",".50",".04",".03",".64",".79","7.57","11.74","8.99","13590"
"Ozzie Albies","Braves","ATL @ PHI","2B","4.65","1.09",".66",".20",".04",".19",".66",".53",".14",".09",".35",".97","7.51","11.66","8.97","16556"
"Josh Reddick","Astros","OAK @ HOU","RF","4.34","1.14",".72",".23",".03",".16",".59",".70",".04",".03",".44",".66","7.46","11.66","8.84","3892"
"Jose Ramirez","Indians","SEA @ CLE","3B","4.40","1.14",".66",".31",".04",".13",".61",".60",".09",".05",".41",".44","7.46","11.61","8.86","13510"
"Jose Abreu","White Sox","","1B","4.48","1.24",".76",".28",".02",".18",".58",".63",".01",".01",".37",".70","7.41","11.55","8.86","15676"
"Andrew Benintendi","Red Sox","TB @ BOS","LF","4.48","1.14",".70",".28",".04",".12",".66",".53",".09",".06",".46",".72","7.42","11.53","8.81","17901"
"Salvador Perez","Royals","","C","4.48","1.14",".68",".23",".01",".22",".64",".70",".01",".01",".28",".73","7.39","11.56","8.77","7304"
"Lucas Duda","Royals","CWS @ KC","1B","4.40",".91",".49",".22",".00",".19",".63",".60",".01",".01",".78",".79","7.50","11.67","8.61","2502"
"Eugenio Suarez","Reds","CIN @ MIN","3B","4.48","1.00",".60",".20",".02",".18",".60",".68",".04",".03",".58","1.07","7.42","11.59","8.65","12552"
"Justin Smoak","Blue Jays","TEX @ TOR","1B","4.32","1.02",".54",".24",".01",".22",".60",".61",".01",".00",".53",".86","7.40","11.53","8.66","9054"
"Carlos Santana","Phillies","ATL @ PHI","1B","4.49",".91",".51",".20",".02",".18",".69",".50",".03",".02",".74",".71","7.38","11.46","8.52","2396"
"David Peralta","Diamondbacks","ARI @ WSH","LF","4.76","1.32",".85",".30",".03",".13",".61",".47",".06",".04",".34",".75","7.23","11.20","8.77","2136"
"Bryce Harper","Nationals","ARI @ WSH","RF","4.38",".98",".61",".18",".01",".18",".59",".55",".05",".03",".70",".99","7.34","11.40","8.56","11579"
"Matt Carpenter","Cardinals","STL @ PIT","3B","4.88",".94",".53",".25",".02",".14",".68",".42",".02",".02",".91",".97","7.38","11.41","8.49","8090"
"Yoenis Cespedes","Mets","NYM @ SD","LF","4.56",".99",".54",".18",".02",".26",".62",".56",".02",".01",".44","1.27","7.28","11.32","8.57","13110"
"Michael Brantley","Indians","SEA @ CLE","LF","4.30","1.27",".83",".30",".02",".11",".56",".66",".07",".03",".29",".37","7.18","11.21","8.65","4106"
"Cody Bellinger","Dodgers","LAD @ SF","1B","4.50","1.02",".62",".21",".03",".16",".56",".64",".05",".03",".55",".99","7.25","11.30","8.52","15998"
"Kris Bryant","Cubs","MIL @ CHC","3B","4.40",".93",".54",".21",".03",".15",".60",".48",".05",".03",".83",".91","7.31","11.33","8.47","15429"
"Charlie Blackmon","Rockies","COL @ MIA","CF","4.63","1.14",".76",".18",".04",".16",".62",".49",".11",".06",".37",".95","7.19","11.15","8.64","7859"
"Francisco Lindor","Indians","SEA @ CLE","SS","4.62","1.14",".69",".27",".04",".14",".62",".53",".08",".05",".38",".59","7.20","11.19","8.60","12916"
"Ronald Acuna","Braves","ATL @ PHI","LF","4.34","1.04",".66",".17",".02",".19",".50",".64",".15",".11",".33","1.24","7.18","11.19","8.58","18401"
"Christian Villanueva","Padres","NYM @ SD","3B","4.28",".97",".50",".20",".01",".26",".57",".62",".02",".01",".41","1.09","7.20","11.22","8.46","11738"
"Jose Martinez","Cardinals","STL @ PIT","1B","4.68","1.15",".77",".25",".01",".13",".57",".61",".04",".02",".50",".69","7.07","11.03","8.39","7996"
"Brandon Belt","Giants","LAD @ SF","1B","4.28",".92",".51",".23",".03",".14",".53",".60",".02",".02",".76","1.09","7.16","11.14","8.28","10264"
"Marcell Ozuna","Cardinals","STL @ PIT","LF","4.57","1.15",".75",".23",".02",".15",".55",".70",".01",".01",".36",".92","7.03","11.01","8.37","10324"
"Jorge Soler","Royals","","DH","4.27",".86",".50",".17",".01",".18",".61",".57",".02",".01",".76",".98","7.16","11.14","8.23","14221"
"Anthony Rizzo","Cubs","MIL @ CHC","1B","4.30",".85",".48",".20",".02",".16",".57",".56",".04",".03",".82",".66","7.16","11.14","8.22","3473"
"Nelson Cruz","Mariners","SEA @ CLE","DH","4.41","1.00",".57",".21",".00",".21",".55",".66",".01",".01",".42","1.19","7.00","10.94","8.22","2434"
"Robbie Grossman","Twins","CIN @ MIN","DH","4.30","1.00",".64",".24",".02",".09",".62",".57",".04",".02",".68",".65","7.01","10.93","8.16","5254"
"Hanley Ramirez","Red Sox","TB @ BOS","1B","4.38","1.10",".70",".23",".01",".16",".60",".62",".03",".02",".36",".83","6.94","10.84","8.24","8001"
"Odubel Herrera","Phillies","ATL @ PHI","CF","4.39","1.17",".78",".24",".03",".12",".57",".55",".07",".04",".37",".92","6.92","10.76","8.31","11476"
"Trevor Story","Rockies","COL @ MIA","SS","4.43",".95",".50",".23",".03",".19",".52",".62",".06",".03",".39","1.46","6.94","10.82","8.17","12564"
"Yoan Moncada","White Sox","CWS @ KC","2B","4.72","1.04",".65",".21",".03",".14",".56",".44",".12",".07",".48","1.31","6.91","10.69","8.24","17232"
"Giancarlo Stanton","Yankees","NYY @ LAA","LF","4.41",".84",".41",".17",".00",".26",".53",".64",".01",".01",".49","1.55","6.95","10.85","8.07","4949"
"Jarrod Dyson","Diamondbacks","ARI @ WSH","LF","4.65","1.13",".80",".22",".05",".06",".55",".40",".26",".10",".31",".53","6.84","10.57","8.34","4866"
"Jose Peraza","Reds","CIN @ MIN","SS","4.81","1.23",".96",".17",".04",".06",".65",".48",".18",".10",".22",".64","6.79","10.55","8.30","13593"
"Aaron Judge","Yankees","NYY @ LAA","RF","4.61",".80",".45",".13",".01",".21",".57",".49",".05",".03",".74","1.78","6.95","10.79","8.02","15640"
"Trey Mancini","Orioles","DET @ BAL","LF","4.55","1.09",".68",".21",".02",".17",".59",".46",".01",".01",".47","1.10","6.84","10.61","8.14","15149"
"Jason Kipnis","Indians","SEA @ CLE","2B","4.51","1.04",".61",".29",".03",".12",".63",".50",".07",".03",".42",".77","6.83","10.63","8.09","9776"
"Jose Abreu","White Sox","CWS @ KC","1B","4.50","1.24",".81",".28",".01",".14",".52",".59",".01",".01",".28",".61","6.76","10.54","8.17","15676"
"Jorge Soler","Royals","CWS @ KC","DH","4.31",".80",".48",".16",".01",".16",".57",".54",".02",".01",".85","1.04","6.93","10.78","7.92","14221"
"Cody Bellinger","Dodgers","","1B","4.38",".96",".55",".20",".03",".18",".51",".58",".05",".03",".48","1.09","6.84","10.65","8.05","15998"
"Salvador Perez","Royals","CWS @ KC","C","4.52","1.06",".66",".21",".01",".18",".58",".63",".01",".01",".33",".78","6.80","10.63","8.06","7304"
"Michael A. Taylor","Nationals","ARI @ WSH","CF","4.19",".99",".61",".22",".03",".14",".49",".58",".14",".07",".35","1.33","6.78","10.56","8.07","11489"
"Matt Joyce","Athletics","OAK @ HOU","LF","4.76",".86",".45",".24",".01",".16",".56",".47",".03",".02",".75","1.36","6.87","10.66","7.94","3353"
"Joey Gallo","Rangers","TEX @ TOR","1B","4.30",".75",".33",".15",".01",".26",".53",".61",".03",".02",".52","1.58","6.83","10.66","7.88","14128"
"Starling Marte","Pirates","STL @ PIT","CF","4.35","1.06",".75",".17",".04",".10",".49",".48",".19",".09",".40",".96","6.72","10.42","8.11","9241"
"Kyle Schwarber","Cubs","MIL @ CHC","LF","4.09",".76",".41",".13",".03",".20",".51",".61",".02",".02",".71","1.11","6.84","10.67","7.85","16478"
