Justin Verlander, 13200, P, 27.82, 30.61, HOU, ARI
Shohei Ohtani, 8500, P, 14.75, 3.60, LAA, SEA
Andrew Triggs, 7900, P, 21.03, 11.08, OAK, BAL
Felix Hernandez, 6900, P, 14.68, 13.69, SEA, LAA
Brandon Finnegan, 6200, P, 11.55, 3.5, CIN, MIA
Mike Trout, 5900, OF, 14.90, 12.09, LAA, SEA
Carlos Correa, 5700, SS, 12.41, 8.94, HOU, ARI
Dan Straily, 5600, P, 11.26, -3, MIA, CIN
Jose Altuve, 5300, 2B, 12.94, 7.66, HOU, ARI
Eric Lauer, 5300, P, 12.57, 4.3, SD, LAD
George Springer, 5100, OF, 12.54, 8.86, HOU, ARI
Manny Machado, 5000, SS, 10.10, 10.67, BAL, OAK
Joey Votto, 4800, 1B, 15.58, 7.28, CIN, MIA
Eugenio Suarez, 4700, 3B, 12.73, 10.53, CIN, MIA
Khris Davis, 4700, OF, 10.58, 8.54, OAK, BAL
Matt Koch, 4600, P, 10.11, 13.19, ARI, HOU
Mitch Haniger, 4600, OF, 10.76, 9.94, SEA, LAA
Scott Schebler, 4400, OF, 13.52, 7.78, CIN, MIA
Christian Villanueva, 4400, 3B, 11.88, 9.48, SD, LAD
Alex Cobb, 4400, P, 13.57, -3.01, BAL, OAK
Justin Upton, 4300, OF, 11.54, 8.15, LAA, SEA
Dee Gordon, 4300, OF, 10.13, 9.28, SEA, LAA
A.J. Pollock, 4200, OF, 9.90, 11.38, ARI, HOU
J.T. Realmuto, 4200, C, 13.71, 9.13, MIA, CIN
Jean Segura, 4200, SS, 10.57, 9.06, SEA, LAA
Cody Bellinger, 4200, 1B, 12.18, 7.85, LAD, SD 
Paul Goldschmidt, 4100, 1B, 9.54, 7.73, ARI, HOU
Nelson Cruz, 4100, OF, 12.53, 8.35, SEA, LAA
Alex Bregman, 4000, 3B, 11.31, 6.82, HOU, ARI
Josh Reddick, 4000, OF, 12.00, 7.39, HOU, ARI
Jose Peraza, 4000, SS, 10.58, 7.34, CIN, MIA
Franchy Cordero, 4000, OF, 12.19, 9.05, SD, LAD
Ross Stripling, 4000, P, 14.67, 4.61, LAD, SD 
Chris Young, 4000, P, 8.21, 0, SD, LAD
David Peralta, 3900, OF, 9.43, 9.14, ARI, HOU
Andrelton Simmons, 3900, SS, 8.95, 9.36, LAA, SEA
Eric Hosmer, 3900, 1B, 12.24, 8.47, SD, LAD
Matt Chapman, 3900, 3B, 9.63, 7.76, OAK, BAL
Marcus Semien, 3800, SS, 9.60, 8, OAK, BAL
