Jacob deGrom, 11500, P, 24.94, 25.55, NYM, ATL
Stephen Strasburg, 10800, P, 24.88, 20.91, WAS, PIT
Aaron Nola, 9900, P, 23.92, 18.24, PHI, MIA
Luis Severino, 9200, P, 18.16, 23.75, NYY, HOU
Hyun-Jin Ryu, 8900, P, 17.84, 19.12, LAD, ARI
James Paxton, 8000, P, 21.11, 16.61, SEA, OAK
Dylan Bundy, 7800, P, 15.46, 20.06, BAL, LAA
Zack Godley, 7600, P, 22.43, 17.55, ARI, LAD
Sean Newcomb, 7600, P, 17.11, 16.73, ATL, NYM
Ivan Nova, 7300, P, 13.08, 16.82, PIT, WAS
Dallas Keuchel, 7000, P, 14.91, 13.88, HOU, NYY
Andrew Heaney, 6000, P, 20.01, 13.68, LAA, BAL
Mike Trout, 5600, OF, 12.65, 11.14, LAA, BAL
Luis Castillo, 5300, P, 16.82, 6.28, CIN, MIL
Aaron Judge, 5300, OF, 13.44, 10.62, NYY, HOU
Rhys Hoskins, 5200, OF, 13.33, 9.34, PHI, MIA
Bryce Harper, 5100, OF, 15.07, 10.7, WAS, PIT
A.J. Pollock, 5000, OF, 11.42, 12.07, ARI, LAD
Wade Miley, 4900, P, 13.84, 0, MIL, CIN
Didi Gregorius, 4900, SS, 10.26, 12.17, NYY, HOU
Mitch Haniger, 4900, OF, 11.82, 10.71, SEA, OAK
Manny Machado, 4900, SS, 10.31, 11.17, BAL, LAA
Jose Altuve, 4800, 2B, 10.85, 7.84, HOU, NYY
Giancarlo Stanton, 4800, OF, 13.50, 7.97, NYY, HOU
Ryan Braun, 4700, 1B/OF, 13.24, 7.64, MIL, CIN
Carlos Correa, 4700, SS, 10.07, 9.07, HOU, NYY
Joey Votto, 4600, 1B, 12.93, 7.59, CIN, MIL
George Springer, 4600, OF, 10.64, 8.81, HOU, NYY
Gary Sanchez, 4600, C, 11.77, 9.62, NYY, HOU
Paul Goldschmidt, 4500, 1B, 11.65, 8.52, ARI, LAD
Eugenio Suarez, 4500, 3B, 12.82, 10.79, CIN, MIL
Shohei Ohtani, 4500, OF, 8.70, 4.23, LAA, BAL
Trea Turner, 4400, SS, 12.42, 9.2, WAS, PIT
Jean Segura, 4400, SS, 11.11, 9.5, SEA, OAK
Nelson Cruz, 4400, OF, 13.53, 8.68, SEA, OAK
Freddie Freeman, 4400, 1B, 11.69, 10.61, ATL, NYM
