Stephen Strasburg, 13600, P, 27.60, 22.63, WAS, SD 
Kyle Hendricks, 9600, P, 21.17, 16.22, CHC, MIA
Dallas Keuchel, 9400, P, 16.44, 14.21, HOU, OAK
Tyson Ross, 8700, P, 17.87, 16.64, SD, WAS
Jeff Samardzija, 8400, P, 18.25, 9.25, SF, SF@
Michael Fulmer, 8000, P, 13.41, 14.45, DET, TEX
Fernando Romero, 7700, P, 13.91, 21.95, MIN, STL
Zach Eflin, 7300, P, 12.98, 17.7, PHI, SF@
Brett Anderson, 6300, P, 8.60, 14.65, OAK, HOU
Jarlin Garcia, 5900, P, 12.43, 16.58, MIA, CHC
Bryce Harper, 5900, OF, 13.14, 10.97, WAS, SD 
Joey Votto, 5500, 1B, 12.59, 8, CIN, NYM
Kris Bryant, 5300, 3B, 12.87, 8.89, CHC, MIA
George Springer, 5200, OF, 12.14, 8.61, HOU, OAK
Rhys Hoskins, 5100, OF, 13.71, 9.24, PHI, SF@
Jose Altuve, 5100, 2B, 12.24, 7.67, HOU, OAK
Carlos Correa, 5000, SS, 12.00, 8.89, HOU, OAK
Eugenio Suarez, 4900, 3B, 12.72, 9.94, CIN, NYM
Trea Turner, 4900, SS, 11.29, 8.89, WAS, SD 
Matt Moore, 4800, P, 11.67, 2.94, TEX, DET
Brian Dozier, 4700, 2B, 12.39, 7.73, MIN, STL
Homer Bailey, 4600, P, 11.06, 8.64, CIN, NYM
Javier Baez, 4500, 2B, 11.43, 11.1, CHC, MIA
Eduardo Escobar, 4500, 3B/SS, 10.57, 10.07, MIN, STL
Khris Davis, 4500, OF, 10.96, 8.35, OAK, HOU
Nicholas Castellanos, 4400, OF, 12.69, 8.33, DET, TEX
Yoenis Cespedes, 4400, OF, 14.98, 8.38, NYM, CIN
Jed Lowrie, 4400, 2B, 9.22, 10.27, OAK, HOU
Joey Gallo, 4300, 1B/OF, 12.94, 8.74, TEX, DET
Nomar Mazara, 4300, OF, 10.97, 7.89, TEX, DET
Jose Peraza, 4300, SS, 10.45, 7.33, CIN, NYM
Asdrubal Cabrera, 4300, 2B, 12.05, 9.61, NYM, CIN
Evan Longoria, 4300, 3B, 10.97, 7.41, SF, SF@
J.T. Realmuto, 4200, C, 8.88, 9.56, MIA, CHC
John Gant, 4200, P, 12.52, 12.75, STL, MIN
Paul DeJong, 4200, SS, 10.56, 7.53, STL, MIN
Eddie Rosario, 4200, OF, 11.24, 9.43, MIN, STL
Matt Adams, 4200, 1B/OF, 10.93, 7.82, WAS, SD 
Leonys Martin, 4100, OF, 11.35, 8.13, DET, TEX
Jeimer Candelario, 4100, 3B, 12.05, 8.34, DET, TEX
Willson Contreras, 4100, C, 11.08, 5.82, CHC, MIA
Brandon Belt, 4100, 1B, 14.73, 9.03, SF, SF@
Cesar Hernandez, 4100, 2B, 10.52, 8.27, PHI, SF@
P.J. Conlon, 4000, P, 11.87, 0, NYM, CIN
Adam Duvall, 4000, OF, 11.50, 5.79, CIN, NYM
Todd Frazier, 4000, 3B, 12.18, 8.55, NYM, CIN
Andrew McCutchen, 4000, OF, 12.15, 7.73, SF, SF@
Matt Olson, 4000, 1B, 8.61, 6.76, OAK, HOU
Scooter Gennett, 3900, 2B, 10.58, 6.18, CIN, NYM
Dexter Fowler, 3900, OF, 11.26, 7.28, STL, MIN
Maikel Franco, 3900, 3B, 10.93, 8.39, PHI, SF@
Carlos Santana, 3900, 1B, 11.12, 6.70, PHI, SF@
Marcus Semien, 3900, SS, 9.87, 7.85, OAK, HOU
Alex Bregman, 3900, 3B, 10.71, 7.03, HOU, OAK
Delino DeShields, 3800, OF, 10.52, 9.25, TEX, DET
Ben Zobrist, 3800, 2B/OF, 9.75, 6, CHC, MIA
